arm,label,unit,scheme,n_bins,ece,ci_lo,ci_hi,n_boot,n_items,n_groups,seed_ece_min,seed_ece_max,seed_ece_spread,n_seeds,null_lo,null_hi,inside_null_band,point_below_ci_lo,n_bins_occupied,bin_count_min,bin_count_max,mean_predicted,observed_rate
R5_tabular,deterioration_mortality_28d,record,equal_width,15,0.007285096102252091,0.005676601824476788,0.013209722217056765,10000,6428,3636,0.006640426458826244,0.008680368101859322,0.002039941643033078,5,0.0030659978770039443,0.00815731724937714,True,False,14,1,5563,0.039459909908798343,0.04215930304915993
R5_tabular,deterioration_mortality_28d,record,equal_mass,15,0.007732996173515513,0.006587122128865342,0.014345195245134583,10000,6428,3636,0.007892468944469785,0.00857780133101879,0.0006853323865490049,5,0.0029011141208940367,0.008502032662052666,True,False,15,428,429,0.039459909908798343,0.04215930304915993
R5_tabular,deterioration_mortality_365d,record,equal_width,15,0.019033880790961518,0.01381973932205715,0.029143971456964752,10000,6428,3636,0.014125677028392233,0.019946130184428416,0.005820453156036184,5,0.005832299734425753,0.013918012937394463,False,False,13,22,3080,0.13435601235789849,0.14250155569383946
R5_tabular,deterioration_mortality_365d,record,equal_mass,15,0.01873625269688614,0.013519081715956824,0.029037174894858415,10000,6428,3636,0.015673769847822306,0.0185352242490102,0.002861454401187895,5,0.0060186563892004425,0.014734395207408333,False,False,15,427,430,0.13435601235789849,0.14250155569383946
R6_waveform,deterioration_icu_24h,record,equal_width,15,0.13233207025242053,0.12429934994589348,0.14130586269356385,10000,6407,3626,0.11951851797690904,0.13708153177492888,0.017563013798019833,5,0.005697393142104551,0.01815123707135108,False,False,10,9,1584,0.2502276159748516,0.12595598564070548
R6_waveform,deterioration_icu_24h,record,equal_mass,15,0.13474125087491456,0.12586119635304444,0.14276271657384576,10000,6407,3626,0.12167703138208806,0.13925662920732515,0.01757959782523709,5,0.009862195073486024,0.02242058660625127,False,False,15,427,428,0.2502276159748516,0.12595598564070548
R6_waveform,deterioration_mortality_28d,record,equal_width,15,0.112073383110469,0.10668980216335526,0.11824685898537743,10000,6428,3636,0.09459614734362849,0.12564654994985483,0.031050402606226338,5,0.00443685929003829,0.013574075658576969,False,False,9,2,1835,0.15416418256549752,0.04215930304915993
R6_waveform,deterioration_mortality_28d,record,equal_mass,15,0.11200487951633757,0.10585964682405782,0.11780374274852992,10000,6428,3636,0.09382522105355674,0.12553373680988417,0.031708515756327424,5,0.008507468938724243,0.01839541329930239,False,False,15,428,429,0.15416418256549752,0.04215930304915993
R6_waveform,deterioration_mortality_365d,record,equal_width,15,0.11999797609558788,0.11025580882915796,0.13086699027653254,10000,6428,3636,0.10903226169592375,0.12723379163969803,0.018201529943774275,5,0.0060951749345388015,0.018105873609675797,False,False,10,14,1221,0.2550685512860536,0.14250155569383946
R6_waveform,deterioration_mortality_365d,record,equal_mass,15,0.12016955092897048,0.10985952258398377,0.13058251804926807,10000,6428,3636,0.10934385249661265,0.1263177898789535,0.016973937382340862,5,0.009626567382748006,0.022166739970158247,False,False,15,428,429,0.2550685512860536,0.14250155569383946
R7_waveform_demo_acq,deterioration_icu_24h,record,equal_width,15,0.13029696515185551,0.12335379869346054,0.13851197301892562,10000,6407,3626,0.11399743930860105,0.14352685334261223,0.029529414034011173,5,0.005985620306923546,0.0181399849944128,False,False,12,1,1606,0.24263559424563888,0.12595598564070548
R7_waveform_demo_acq,deterioration_icu_24h,record,equal_mass,15,0.13006718027624495,0.1218857476300991,0.13809750668908322,10000,6407,3626,0.11681107276957875,0.14392624419593616,0.027115171426357415,5,0.01030280242261672,0.02089164912516914,False,False,15,427,428,0.24263559424563888,0.12595598564070548
R7_waveform_demo_acq,deterioration_mortality_28d,record,equal_width,15,0.1102344866959098,0.1046794279002298,0.1158292673163019,10000,6428,3636,0.09723550746841536,0.12000738798137048,0.022771880512955117,5,0.004408166329425683,0.014397652467154175,False,False,9,6,2117,0.1514461362043624,0.04215930304915993
R7_waveform_demo_acq,deterioration_mortality_28d,record,equal_mass,15,0.1092868331552025,0.10341606946869036,0.11482169779128186,10000,6428,3636,0.0971193108839512,0.11929223376112412,0.022172922877172915,5,0.008027588034659508,0.017874196647106006,False,False,15,428,429,0.1514461362043624,0.04215930304915993
R7_waveform_demo_acq,deterioration_mortality_365d,record,equal_width,15,0.12906274723089578,0.11944791140191978,0.1396525572356744,10000,6428,3636,0.1143311195837029,0.14502336922395503,0.030692249640252134,5,0.006444160787257731,0.018676889345198178,False,False,11,2,1257,0.26114754940231877,0.14250155569383946
R7_waveform_demo_acq,deterioration_mortality_365d,record,equal_mass,15,0.12958177678685753,0.11944849963814651,0.14000399273164915,10000,6428,3636,0.11466950088259535,0.14462302715355888,0.029953526270963524,5,0.010417670320218729,0.02259441314389156,False,False,15,428,429,0.26114754940231877,0.14250155569383946
