arm,label,scheme,bin,n,mean_predicted,observed_rate,gap
R3_acqctx_pre,deterioration_mortality_28d,equal_mass,7,429,0.0355601341828966,0.04195804195804196,0.006397907775145359
R3_acqctx_pre,deterioration_mortality_28d,equal_mass,8,428,0.03761527414758273,0.028037383177570093,-0.009577890970012635
R3_acqctx_pre,deterioration_mortality_28d,equal_mass,9,429,0.03969904509944428,0.02564102564102564,-0.014058019458418641
R3_acqctx_pre,deterioration_mortality_28d,equal_mass,10,428,0.04214431166054443,0.04672897196261682,0.004584660302072392
R3_acqctx_pre,deterioration_mortality_28d,equal_mass,11,429,0.04570952459432049,0.04895104895104895,0.003241524356728462
R3_acqctx_pre,deterioration_mortality_28d,equal_mass,12,428,0.051875357210405454,0.0630841121495327,0.01120875493912725
R3_acqctx_pre,deterioration_mortality_28d,equal_mass,13,429,0.060151362106402644,0.10023310023310024,0.040081738126697596
R3_acqctx_pre,deterioration_mortality_28d,equal_mass,14,429,0.08880775919019118,0.18414918414918416,0.09534142495899298
R3_acqctx_pre,deterioration_mortality_365d,equal_width,0,1274,0.05046631481950112,0.03453689167974882,-0.015929423139752298
R3_acqctx_pre,deterioration_mortality_365d,equal_width,1,2216,0.10186355460569058,0.09115523465703972,-0.01070831994865086
R3_acqctx_pre,deterioration_mortality_365d,equal_width,2,1765,0.1616728606272977,0.17053824362606232,0.008865382998764632
R3_acqctx_pre,deterioration_mortality_365d,equal_width,3,705,0.22859163112964373,0.28368794326241137,0.05509631213276764
R3_acqctx_pre,deterioration_mortality_365d,equal_width,4,372,0.29289566201742795,0.34139784946236557,0.04850218744493762
R3_acqctx_pre,deterioration_mortality_365d,equal_width,5,93,0.35190059097889714,0.43010752688172044,0.0782069359028233
R3_acqctx_pre,deterioration_mortality_365d,equal_width,6,3,0.4106463167209226,0.6666666666666666,0.256020349945744
R3_acqctx_pre,deterioration_mortality_365d,equal_mass,0,429,0.03649546060259762,0.018648018648018648,-0.01784744195457897
R3_acqctx_pre,deterioration_mortality_365d,equal_mass,1,428,0.05302111694826705,0.02570093457943925,-0.027320182368827797
R3_acqctx_pre,deterioration_mortality_365d,equal_mass,2,428,0.06233607115462248,0.05841121495327103,-0.003924856201351454
R3_acqctx_pre,deterioration_mortality_365d,equal_mass,3,429,0.07378243781773035,0.07226107226107226,-0.0015213655566580914
R3_acqctx_pre,deterioration_mortality_365d,equal_mass,4,428,0.08787173895720313,0.05841121495327103,-0.0294605240039321
R3_acqctx_pre,deterioration_mortality_365d,equal_mass,5,429,0.10219461537803334,0.08857808857808858,-0.013616526799944767
R3_acqctx_pre,deterioration_mortality_365d,equal_mass,6,428,0.11510727128485625,0.102803738317757,-0.01230353296709924
R3_acqctx_pre,deterioration_mortality_365d,equal_mass,7,429,0.12679373287458037,0.1282051282051282,0.001411395330547821
R3_acqctx_pre,deterioration_mortality_365d,equal_mass,8,428,0.1363817636587492,0.13317757009345793,-0.00320419356529128
R3_acqctx_pre,deterioration_mortality_365d,equal_mass,9,429,0.14861493351213412,0.14918414918414918,0.0005692156720150665
R3_acqctx_pre,deterioration_mortality_365d,equal_mass,10,428,0.1651194546696831,0.17523364485981308,0.010114190190129962
R3_acqctx_pre,deterioration_mortality_365d,equal_mass,11,429,0.1830270858858342,0.20745920745920746,0.024432121573373267
R3_acqctx_pre,deterioration_mortality_365d,equal_mass,12,428,0.20733617016361017,0.2383177570093458,0.030981586845735626
R3_acqctx_pre,deterioration_mortality_365d,equal_mass,13,429,0.245176220368854,0.317016317016317,0.07184009664746299
R3_acqctx_pre,deterioration_mortality_365d,equal_mass,14,429,0.308668441428034,0.36363636363636365,0.054967922208329634
R3b_acqctx_window,deterioration_icu_24h,equal_width,0,2779,0.04246344958643174,0.028067650233897085,-0.014395799352534652
R3b_acqctx_window,deterioration_icu_24h,equal_width,1,1792,0.09735512075654403,0.10379464285714286,0.006439522100598838
R3b_acqctx_window,deterioration_icu_24h,equal_width,2,722,0.1602509111773596,0.1786703601108033,0.018419448933443716
R3b_acqctx_window,deterioration_icu_24h,equal_width,3,352,0.23082841663960857,0.24431818181818182,0.013489765178573254
R3b_acqctx_window,deterioration_icu_24h,equal_width,4,337,0.2989013289935709,0.3353115727002967,0.0364102437067258
R3b_acqctx_window,deterioration_icu_24h,equal_width,5,201,0.35886595997130266,0.4626865671641791,0.10382060719287645
R3b_acqctx_window,deterioration_icu_24h,equal_width,6,68,0.4317990974116362,0.4264705882352941,-0.005328509176342089
R3b_acqctx_window,deterioration_icu_24h,equal_width,7,48,0.5019970836817097,0.5208333333333334,0.01883624965162367
R3b_acqctx_window,deterioration_icu_24h,equal_width,8,71,0.5702622405726796,0.5774647887323944,0.007202548159714772
R3b_acqctx_window,deterioration_icu_24h,equal_width,9,35,0.627570049691547,0.7428571428571429,0.11528709316559593
R3b_acqctx_window,deterioration_icu_24h,equal_width,10,2,0.6748606349846913,0.5,-0.1748606349846913
R3b_acqctx_window,deterioration_icu_24h,equal_mass,0,427,0.02714455772638858,0.00702576112412178,-0.0201187966022668
R3b_acqctx_window,deterioration_icu_24h,equal_mass,1,427,0.031225017772290403,0.00936768149882904,-0.021857336273461363
R3b_acqctx_window,deterioration_icu_24h,equal_mass,2,427,0.03673431629356372,0.02576112412177986,-0.010973192171783858
R3b_acqctx_window,deterioration_icu_24h,equal_mass,3,427,0.043024015588025245,0.03044496487119438,-0.012579050716830867
R3b_acqctx_window,deterioration_icu_24h,equal_mass,4,427,0.04928675788715759,0.0351288056206089,-0.014157952266548694
R3b_acqctx_window,deterioration_icu_24h,equal_mass,5,427,0.05658125155311647,0.0468384074941452,-0.009742844058971266
R3b_acqctx_window,deterioration_icu_24h,equal_mass,6,427,0.06656393374462714,0.06791569086651054,0.0013517571218834012
R3b_acqctx_window,deterioration_icu_24h,equal_mass,7,428,0.0794407799055564,0.07242990654205607,-0.007010873363500328
R3b_acqctx_window,deterioration_icu_24h,equal_mass,8,427,0.09491788048224464,0.09836065573770492,0.003442775255460273
R3b_acqctx_window,deterioration_icu_24h,equal_mass,9,427,0.1112559109673278,0.14754098360655737,0.036285072639229574
R3b_acqctx_window,deterioration_icu_24h,equal_mass,10,427,0.12934897370569826,0.12646370023419204,-0.0028852734715062167
R3b_acqctx_window,deterioration_icu_24h,equal_mass,11,427,0.15660636240138714,0.1756440281030445,0.019037665701657353
R3b_acqctx_window,deterioration_icu_24h,equal_mass,12,427,0.2080575595255569,0.22716627634660422,0.01910871682104731
R3b_acqctx_window,deterioration_icu_24h,equal_mass,13,427,0.2893697730736415,0.31381733021077285,0.02444755713713137
R3b_acqctx_window,deterioration_icu_24h,equal_mass,14,428,0.4448412182284425,0.5046728971962616,0.0598316789678191
R3b_acqctx_window,deterioration_mortality_28d,equal_width,0,5340,0.028380231336251692,0.02397003745318352,-0.00441019388306817
R3b_acqctx_window,deterioration_mortality_28d,equal_width,1,905,0.0830388211288976,0.11160220994475138,0.028563388815853782
R3b_acqctx_window,deterioration_mortality_28d,equal_width,2,151,0.16275978494001503,0.23841059602649006,0.07565081108647503
R3b_acqctx_window,deterioration_mortality_28d,equal_width,3,23,0.22242941170208483,0.2608695652173913,0.03844015351530647
R3b_acqctx_window,deterioration_mortality_28d,equal_width,4,3,0.2942147222135288,0.0,-0.2942147222135288
R3b_acqctx_window,deterioration_mortality_28d,equal_width,5,6,0.3603727725815981,0.0,-0.3603727725815981
R3b_acqctx_window,deterioration_mortality_28d,equal_mass,0,428,0.010717569470085281,0.002336448598130841,-0.00838112087195444
R3b_acqctx_window,deterioration_mortality_28d,equal_mass,1,429,0.013361503467026239,0.009324009324009324,-0.004037494143016915
R3b_acqctx_window,deterioration_mortality_28d,equal_mass,2,428,0.016362929171314412,0.014018691588785047,-0.0023442375825293658
