table,row_key,column,text,value,format,source_file,source_key,source_column,aggregate,unit
T2,retained_primary,measured,0.9313,0.9312685143325508,.4f,results/p4_retained.csv,label=deterioration_mortality_365d,estimate,,within_stratum
T2,retained_primary,measured,0.6631,0.6631449879694848,.4f,results/p4_retained.csv,label=deterioration_mortality_365d,ci_lo,,within_stratum
T2,retained_primary,measured,1.1583,1.1583142395277883,.4f,results/p4_retained.csv,label=deterioration_mortality_365d,ci_hi,,within_stratum
T2,retained_primary,pre-declared,0.50,0.5,.2f,results/p4_retained.csv,label=deterioration_mortality_365d,threshold,,within_stratum
T2,retained_primary,outcome,FAILED,,verdict,results/p4_retained.csv,label=deterioration_mortality_365d,meets_target,,not_applicable
T2,ladder_trend,measured,-0.8000,-0.7999999999999998,+.4f,results/p3_trends.csv,name=acq_advantage_trend,estimate,,record
T2,ladder_trend,measured,-1.0000,-0.9999999999999998,+.4f,results/p3_trends.csv,name=acq_advantage_trend,ci_lo,,record
T2,ladder_trend,measured,+0.2000,0.1999999999999999,+.4f,results/p3_trends.csv,name=acq_advantage_trend,ci_hi,,record
T2,ladder_trend,outcome,NOT SUPPORTED,,verdict,results/p3_trends.csv,name=acq_advantage_trend,supported,,not_applicable
T3,R3_acqctx_pre|deterioration_icu_24h,ratio,0.9366,0.9365935093543872,.4f,results/p3_recovery.csv,arm=R3_acqctx_pre;label=deterioration_icu_24h;quantity=recovery_ratio,estimate,,record
T3,R3_acqctx_pre|deterioration_icu_24h,ratio,0.8758,0.8757675536653107,.4f,results/p3_recovery.csv,arm=R3_acqctx_pre;label=deterioration_icu_24h;quantity=recovery_ratio,ci_lo,,record
T3,R3_acqctx_pre|deterioration_icu_24h,ratio,0.9995,0.9995075881913936,.4f,results/p3_recovery.csv,arm=R3_acqctx_pre;label=deterioration_icu_24h;quantity=recovery_ratio,ci_hi,,record
T3,R3_acqctx_pre|deterioration_icu_24h,numerator,0.7972,0.7971999468932555,.4f,results/p3_recovery.csv,arm=R3_acqctx_pre;label=deterioration_icu_24h;quantity=recovery_ratio,numerator_auroc,,record
T3,R3_acqctx_pre|deterioration_icu_24h,denominator,0.8173,0.8173201009028147,.4f,results/p3_recovery.csv,arm=R3_acqctx_pre;label=deterioration_icu_24h;quantity=recovery_ratio,denominator_auroc,,record
